Nombre científico de la especie,Nombre común de la especie,Nombre familiar de la especie,Categoría de List roja de especies de IUCN,La especie es poco común,Forma de crecimiento de la especie,Comportamiento del almacenamiento de semillas de la especie,Tipo de ecosistema de la especie
Aphelandra dolichantha,"Acantácea,  Acantos, Flores de Camarón",Acanthaceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Calycophyllum candidissimum,"Canelo, madroño, sálamo, sará",Rubiaceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Clethra mexicana,"Madroño, jaboncillo, Tlecuauitl (Clethra lanata)",Clethraceae,,verdadero,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Doliocarpus dentatus,"Bejuco de agua, bejuco rosa",Dilleniaceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Erythroxylum havanense,"Escobillo, piedrilla",Erythroxylaceae,,,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Hauya elegans,"Surá, guayabón.",Onagraceae,,verdadero,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Inga acuminata,Ingas o chalahuites,Fabaceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Machaerium biovulatum,Bejuco de Ardilla,Fabaceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Mespilodaphne veraguensis,"Aguacatillo, canelo (Ocotea veraguensis)",Lauraceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Miconia xalapensis,"Lengua de gato, lengua de vaca, madroño (Conostegia xalapensis)",Melastomataceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Myrcia splendens,"Mirto, capulincillo ",Myrtaceae,,verdadero,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Myrciaria floribunda,"Cacique, murta, escobillo (Myrciaria arborea)",Myrtaceae,,,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Myrsine coriacea,Ratoncillo,Primulaceae,,verdadero,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Persea schiedeana,"Aguacate de montaña, yas",Lauraceae,EN,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Philodendron tripartitum,Pitaya,Araceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Psidium friedrichsthalianum,"Cas, guayaba de monte, cas ácido, sôrí, kás+krá, kuríb+krá (brunka), kás (térraba).",Myrtaceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Psidium guajava,"Guayaba, shulé, Ŝori (cabécar), Ŝure (bribrí), Ŝui+krá (brunka), sęuí (térraba), otera (guatuso).",Myrtaceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Quetzalia occidentalis,Corroncho (Microtropis occidentalis),Celastraceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Roupala montana,"Danto, zorrillo, kag-dži+krá (brunka), kirba+gró (térraba)",Proteaceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Ruprechtia costata,Mulatillo,Polygonaceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Siphoneugena dussii,"Hoja menuda, arazá.",Myrtaceae,,verdadero,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Syzygium jambos,Manzana rosa,Myrtaceae,,verdadero,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Trichilia martiana,Cedrillo,Meliaceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Vismia baccifera,Achiotillo,Hyperycaceae,,,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Xylosma hispidula,Naranjillo,Salicaceae,,,Arbusto,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
Zanthoxylum rhoifolium,"Lagarto, lagarto blanco, lagarto amarillo, lagartillo,",Rutaceae,,verdadero,Árbol,Desconocido,Bosques tropicales y subtropicales húmedos de hoja ancha
